ANID	Project ID	Alternate_ID	Excavator	Source_Person	Affiliation	Region	Country	State_Province	County_District	Subregion	Site_Name	Site_Number	Material	Sample_Type	Description	Culture	Context	Provenience	Period	Analyis_Date	Fe	Fe_err	Zn	Zn_err	Rb	Rb_err	Sr	Sr_err	Y	Y_err	Zr	Zr_err	Nb	Nb_err	Th	Th_err	Source_Code	Source_Name								
BLUM0042	9	1957-HB151-693	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Archaic	2020	3576	89	29	5	149	4	3	1	20	2	68	2	41	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0043	9	1957-HB151-693	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Utilized	Ancestral Puebloan	Surface		Archaic	2020	7044	125	73	7	191	5	<LOD	1	54	2	178	3	87	3	19	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0044	9	1957-HB151-693	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Projectile Point; Unifacial; Side Notched	Ancestral Puebloan	Surface		Archaic	2020	4545	101	28	5	142	4	3	1	19	2	67	2	37	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0045	9	1955-HB095-445	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 9201	Obsidian	Artifact	PP; Uniface; Triangle	Ancestral Puebloan	Surface		Valdez	2020	6867	124	52	6	150	4	3	1	35	2	167	3	47	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0046	9	19__-HB081-424	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 259	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	6466	120	75	7	190	5	<LOD	1	55	2	178	3	91	3	20	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0047	9	19__-HB081-424	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 259	Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	5295	105	64	6	312	6	2	1	46	2	87	2	79	2	26	2	NAPW-NM	No Agua West								
BLUM0048	9	19__-HB081-424	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 259	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	8351	140	54	6	156	5	3	1	39	2	164	3	48	2	14	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0049	9	19__-HB081-424	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 259	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	3581	91	30	5	133	4	3	1	20	2	71	2	38	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0050	9	19__-HB081-424	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 259	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	5524	106	34	5	154	4	4	1	20	2	70	2	39	2	16	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0051	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	3885	92	32	5	151	4	3	1	20	2	73	2	39	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
